1	2023-08-05	Colchester Utd	Swindon Town
1	2023-08-05	Sutton United	Notts County
1	2023-08-05	Morecambe	Walsall
1	2023-08-05	Acc'ton Stanley	Newport County
1	2023-08-05	Doncaster	Harrogate
1	2023-08-05	Stockport	Gillingham
1	2023-08-05	Grimsby Town	AFC Wimbledon
1	2023-08-05	Tranmere Rovers	Barrow
1	2023-08-05	Wrexham	MK Dons
1	2023-08-05	Crewe Alexandra	Mansfield Town
1	2023-08-05	FG Rovers	Salford City
1	2023-08-05	Crawley Town	Bradford City
2	2023-08-12	Swindon Town	Crewe Alexandra
2	2023-08-12	Notts County	Grimsby Town
2	2023-08-12	Bradford City	Colchester Utd
2	2023-08-12	Mansfield Town	Morecambe
2	2023-08-12	MK Dons	Tranmere Rovers
2	2023-08-12	AFC Wimbledon	Wrexham
2	2023-08-12	Salford City	Crawley Town
2	2023-08-12	Harrogate	FG Rovers
2	2023-08-12	Gillingham	Acc'ton Stanley
2	2023-08-12	Walsall	Stockport
2	2023-08-12	Newport County	Doncaster
2	2023-08-12	Barrow	Sutton United
3	2023-08-15	Morecambe	Notts County
3	2023-08-15	Wrexham	Walsall
3	2023-08-15	Sutton United	Gillingham
3	2023-08-15	Crawley Town	MK Dons
3	2023-08-15	FG Rovers	Swindon Town
3	2023-08-15	Doncaster	Mansfield Town
3	2023-08-15	Colchester Utd	AFC Wimbledon
3	2023-08-15	Crewe Alexandra	Newport County
3	2023-08-15	Acc'ton Stanley	Barrow
3	2023-08-15	Tranmere Rovers	Harrogate
3	2023-08-15	Grimsby Town	Salford City
3	2023-08-15	Stockport	Bradford City
4	2023-08-19	Crewe Alexandra	Walsall
4	2023-08-19	FG Rovers	Newport County
4	2023-08-19	Sutton United	AFC Wimbledon
4	2023-08-19	Tranmere Rovers	Salford City
4	2023-08-19	Morecambe	Bradford City
4	2023-08-19	Doncaster	Notts County
4	2023-08-19	Wrexham	Swindon Town
4	2023-08-19	Grimsby Town	Mansfield Town
4	2023-08-19	Stockport	Barrow
4	2023-08-19	Crawley Town	Gillingham
4	2023-08-19	Colchester Utd	MK Dons
4	2023-08-19	Acc'ton Stanley	Harrogate
5	2023-08-26	Barrow	Wrexham
5	2023-08-26	Walsall	Grimsby Town
5	2023-08-26	Harrogate	Morecambe
5	2023-08-26	Bradford City	Crewe Alexandra
5	2023-08-26	Newport County	Sutton United
5	2023-08-26	Salford City	Acc'ton Stanley
5	2023-08-26	Gillingham	Colchester Utd
5	2023-08-26	AFC Wimbledon	FG Rovers
5	2023-08-26	MK Dons	Doncaster
5	2023-08-26	Mansfield Town	Stockport
5	2023-08-26	Swindon Town	Crawley Town
5	2023-08-26	Notts County	Tranmere Rovers
6	2023-09-02	Tranmere Rovers	Wrexham
6	2023-09-02	Grimsby Town	Gillingham
6	2023-09-02	Morecambe	Salford City
6	2023-09-02	Crewe Alexandra	MK Dons
6	2023-09-02	Newport County	AFC Wimbledon
6	2023-09-02	Stockport	Crawley Town
6	2023-09-02	Doncaster	Swindon Town
6	2023-09-02	Sutton United	FG Rovers
6	2023-09-02	Notts County	Acc'ton Stanley
6	2023-09-02	Walsall	Colchester Utd
6	2023-09-02	Harrogate	Barrow
6	2023-09-02	Mansfield Town	Bradford City
7	2023-09-09	Bradford City	Grimsby Town
7	2023-09-09	Gillingham	Harrogate
7	2023-09-09	Barrow	Morecambe
7	2023-09-09	Swindon Town	Sutton United
7	2023-09-09	Salford City	Walsall
7	2023-09-09	FG Rovers	Crewe Alexandra
7	2023-09-09	Colchester Utd	Tranmere Rovers
7	2023-09-09	Acc'ton Stanley	Mansfield Town
7	2023-09-09	Wrexham	Doncaster
7	2023-09-09	MK Dons	Notts County
7	2023-09-09	Crawley Town	Newport County
7	2023-09-09	AFC Wimbledon	Stockport
8	2023-09-15	Salford City	Notts County
8	2023-09-16	Colchester Utd	Mansfield Town
8	2023-09-16	Gillingham	Morecambe
8	2023-09-16	Wrexham	Grimsby Town
8	2023-09-16	AFC Wimbledon	Crewe Alexandra
8	2023-09-16	Swindon Town	Walsall
8	2023-09-16	Bradford City	Harrogate
8	2023-09-16	Crawley Town	Tranmere Rovers
8	2023-09-16	Acc'ton Stanley	Sutton United
8	2023-09-16	FG Rovers	Doncaster
8	2023-09-16	MK Dons	Stockport
40	2023-09-16	Newport County	Barrow
9	2023-09-23	Mansfield Town	Barrow
9	2023-09-23	Newport County	Bradford City
9	2023-09-23	Sutton United	MK Dons
9	2023-09-23	Stockport	Wrexham
9	2023-09-23	Harrogate	Salford City
9	2023-09-23	Notts County	FG Rovers
9	2023-09-23	Doncaster	Gillingham
9	2023-09-23	Crewe Alexandra	Colchester Utd
9	2023-09-23	Walsall	AFC Wimbledon
9	2023-09-23	Tranmere Rovers	Acc'ton Stanley
9	2023-09-23	Morecambe	Swindon Town
9	2023-09-23	Grimsby Town	Crawley Town
10	2023-09-30	FG Rovers	Morecambe
10	2023-09-30	Swindon Town	Grimsby Town
10	2023-09-30	AFC Wimbledon	Tranmere Rovers
10	2023-09-30	Barrow	Doncaster
10	2023-09-30	Colchester Utd	Notts County
10	2023-09-30	Acc'ton Stanley	Stockport
10	2023-09-30	Crawley Town	Sutton United
10	2023-09-30	Bradford City	Walsall
10	2023-09-30	Salford City	Newport County
10	2023-09-30	Wrexham	Crewe Alexandra
10	2023-09-30	Gillingham	Mansfield Town
10	2023-09-30	MK Dons	Harrogate
11	2023-10-03	Walsall	MK Dons
